created_at,id,created_at,author,location,retweet_count,tweet,in_reply
2017-10-11 14:49:21,918126380587634689,2017-10-11 14:49:21,Werzion,Sverige,10,"RT @BlottGott: Halva studiemedlet går t #hyran men bara f Svea, ej f #ensamkommande Ali som får kost &amp; logi gratis av #vistårinteut https:/…",
2017-10-11 14:49:16,918126358479495169,2017-10-11 14:49:16,ChristinaHgber3,"Öckerö, Sverige",28,RT @AsaLindhagen: Det är vansinne att vi sänder unga in i döden. Stoppa utvisningarna till Afghanistan! #låtdeungastanna #vistårinteut http…,
2017-10-11 14:45:25,918125389590990848,2017-10-11 14:45:25,frokensverige,Dhimmistan,10,"RT @BlottGott: Halva studiemedlet går t #hyran men bara f Svea, ej f #ensamkommande Ali som får kost &amp; logi gratis av #vistårinteut https:/…",
2017-10-11 14:44:19,918125111110184960,2017-10-11 14:44:19,bohuslaningen,Uddevalla,0,"Debatt: Fyrkantigt, Migrationsverket! Ta upp Ahmads fall igen! #svpol #migpol #vistårinteut 
https://t.co/TJuDaWQAHL",
2017-10-11 14:43:22,918124872890507264,2017-10-11 14:43:22,AuliCarl,,52,RT @charlieafnord: Förutom det orimliga i att man kan överklaga utvisningsbeslut in i det evinnerliga - vad kostar inte detta spektakel oss…,
2017-10-11 14:31:16,918121828891201536,2017-10-11 14:31:16,JohanssoBritt,,3,"RT @MadeleineMaddis: Fruktansvärt att @Migrationsverk och @SwedishPM låter detta ske
#låtdeungastanna #vistårinteut https://t.co/bbHVRhMXWn",
2017-10-11 14:29:26,918121365462450176,2017-10-11 14:29:26,vigdhomoman,"Järfälla, Sverige",1,"RT @enkritiskfan: Är det så här #vistårinteut #aktivisterna ser på demokrati? Ingen koll på uttalanden de gör. #svpol #migpol

https://t.co…",
2017-10-11 14:19:09,918118779288195072,2017-10-11 14:19:09,BriHed11,Åre kommun,28,RT @AsaLindhagen: Det är vansinne att vi sänder unga in i döden. Stoppa utvisningarna till Afghanistan! #låtdeungastanna #vistårinteut http…,
2017-10-11 14:12:32,918117114069823488,2017-10-11 14:12:32,lindavanemo,,19,RT @vistarinteut: Enligt @MRibbenvik utvisas inga kristna. Vad säger du @SwedishPM? https://t.co/c2JktColBn,
2017-10-11 14:08:10,918116016160497665,2017-10-11 14:08:10,BriHed11,Åre kommun,4,"RT @MadeleineMaddis: @Ygeman vi kan ta hand om de vi har, svårare är det inte Du är en skam för Sverige #låtdeungastanna #vistårinteut http…",
2017-10-11 14:03:33,918114855651037184,2017-10-11 14:03:33,inge_vidare,,10,"RT @BlottGott: Halva studiemedlet går t #hyran men bara f Svea, ej f #ensamkommande Ali som får kost &amp; logi gratis av #vistårinteut https:/…",
2017-10-11 13:54:28,918112565909245952,2017-10-11 13:54:28,ambrowoll,,19,RT @vistarinteut: Enligt @MRibbenvik utvisas inga kristna. Vad säger du @SwedishPM? https://t.co/c2JktColBn,
2017-10-11 13:44:58,918110175378239489,2017-10-11 13:44:58,lautreamont13,"Nacka, Sverige",53,"RT @Jonas_Gardell: Låt de unga stanna! #vistårinteut 

https://t.co/hj5BdT3lm2",
2017-10-11 13:44:00,918109934499368960,2017-10-11 13:44:00,ElisabetEnell1,,10,"RT @BlottGott: Halva studiemedlet går t #hyran men bara f Svea, ej f #ensamkommande Ali som får kost &amp; logi gratis av #vistårinteut https:/…",
2017-10-11 13:30:24,918106512215695361,2017-10-11 13:30:24,Nebosa,,52,RT @charlieafnord: Förutom det orimliga i att man kan överklaga utvisningsbeslut in i det evinnerliga - vad kostar inte detta spektakel oss…,
2017-10-11 13:27:07,918105686076215296,2017-10-11 13:27:07,WaltherHubbot,Sweden ,52,RT @charlieafnord: Förutom det orimliga i att man kan överklaga utvisningsbeslut in i det evinnerliga - vad kostar inte detta spektakel oss…,
2017-10-11 13:23:32,918104781482274816,2017-10-11 13:23:32,BlottGott,Beirut,10,"RT @BlottGott: Halva studiemedlet går t #hyran men bara f Svea, ej f #ensamkommande Ali som får kost &amp; logi gratis av #vistårinteut https:/…",
2017-10-11 13:23:13,918104703199793152,2017-10-11 13:23:13,BlottGott,Beirut,10,"Halva studiemedlet går t #hyran men bara f Svea, ej f #ensamkommande Ali som får kost &amp; logi gratis av #vistårinteut https://t.co/pyKsud6yAA",
2017-10-11 13:22:14,918104456310468608,2017-10-11 13:22:14,RAWSURREAL,Sweden,52,RT @charlieafnord: Förutom det orimliga i att man kan överklaga utvisningsbeslut in i det evinnerliga - vad kostar inte detta spektakel oss…,
2017-10-11 12:52:07,918096877911990272,2017-10-11 12:52:07,Laban82,Stockholm,52,RT @charlieafnord: Förutom det orimliga i att man kan överklaga utvisningsbeslut in i det evinnerliga - vad kostar inte detta spektakel oss…,
2017-10-11 12:41:24,918094180014018560,2017-10-11 12:41:24,RobertAChr,"Majorstuen, Oslo",53,"RT @Jonas_Gardell: Låt de unga stanna! #vistårinteut 

https://t.co/hj5BdT3lm2",
2017-10-11 12:35:17,918092639865622528,2017-10-11 12:35:17,KristinaZanotti,,53,"RT @Jonas_Gardell: Låt de unga stanna! #vistårinteut 

https://t.co/hj5BdT3lm2",
2017-10-11 12:34:31,918092447963602944,2017-10-11 12:34:31,KristinaZanotti,,28,RT @AsaLindhagen: Det är vansinne att vi sänder unga in i döden. Stoppa utvisningarna till Afghanistan! #låtdeungastanna #vistårinteut http…,
2017-10-11 12:24:18,918089875760603136,2017-10-11 12:24:18,JornstedtDoina,,52,RT @charlieafnord: Förutom det orimliga i att man kan överklaga utvisningsbeslut in i det evinnerliga - vad kostar inte detta spektakel oss…,
2017-10-11 12:16:12,918087837278404614,2017-10-11 12:16:12,KristinaZanotti,,4,"RT @MadeleineMaddis: @Ygeman vi kan ta hand om de vi har, svårare är det inte Du är en skam för Sverige #låtdeungastanna #vistårinteut http…",
2017-10-11 10:22:21,918059188017917958,2017-10-11 10:22:21,Javabonan,Sverige,52,RT @charlieafnord: Förutom det orimliga i att man kan överklaga utvisningsbeslut in i det evinnerliga - vad kostar inte detta spektakel oss…,
2017-10-11 10:08:39,918055739926736897,2017-10-11 10:08:39,abjohansson,,52,RT @charlieafnord: Förutom det orimliga i att man kan överklaga utvisningsbeslut in i det evinnerliga - vad kostar inte detta spektakel oss…,
2017-10-11 10:04:04,918054584756719616,2017-10-11 10:04:04,benny_guldfot,Sverige,52,RT @charlieafnord: Förutom det orimliga i att man kan överklaga utvisningsbeslut in i det evinnerliga - vad kostar inte detta spektakel oss…,
2017-10-11 09:59:09,918053346484867072,2017-10-11 09:59:09,capricornleia,"Stockholm, Sweden",52,RT @charlieafnord: Förutom det orimliga i att man kan överklaga utvisningsbeslut in i det evinnerliga - vad kostar inte detta spektakel oss…,
2017-10-11 09:58:34,918053201974349824,2017-10-11 09:58:34,enkritiskfan,,1,"Är det så här #vistårinteut #aktivisterna ser på demokrati? Ingen koll på uttalanden de gör. #svpol #migpol

https://t.co/Khyk5kFfqm",
2017-10-11 09:52:29,918051670482972672,2017-10-11 09:52:29,KarlssonHkan,,52,RT @charlieafnord: Förutom det orimliga i att man kan överklaga utvisningsbeslut in i det evinnerliga - vad kostar inte detta spektakel oss…,
2017-10-11 09:50:19,918051124166393856,2017-10-11 09:50:19,Investeraren_Tw,,52,RT @charlieafnord: Förutom det orimliga i att man kan överklaga utvisningsbeslut in i det evinnerliga - vad kostar inte detta spektakel oss…,
2017-10-11 09:44:07,918049564392935425,2017-10-11 09:44:07,enzo4235,,52,RT @charlieafnord: Förutom det orimliga i att man kan överklaga utvisningsbeslut in i det evinnerliga - vad kostar inte detta spektakel oss…,
2017-10-11 09:30:42,918046189316124672,2017-10-11 09:30:42,MadeleineMaddis,,4,"@Ygeman vi kan ta hand om de vi har, svårare är det inte Du är en skam för Sverige #låtdeungastanna #vistårinteut https://t.co/p9oOA9oJph",
2017-10-11 09:14:53,918042206757408768,2017-10-11 09:14:53,Kjell_999,,52,RT @charlieafnord: Förutom det orimliga i att man kan överklaga utvisningsbeslut in i det evinnerliga - vad kostar inte detta spektakel oss…,
2017-10-11 08:54:08,918036988107939841,2017-10-11 08:54:08,LasseLassesson1,,52,RT @charlieafnord: Förutom det orimliga i att man kan överklaga utvisningsbeslut in i det evinnerliga - vad kostar inte detta spektakel oss…,
2017-10-11 08:45:59,918034934459232256,2017-10-11 08:45:59,travelbywar,,52,RT @charlieafnord: Förutom det orimliga i att man kan överklaga utvisningsbeslut in i det evinnerliga - vad kostar inte detta spektakel oss…,
2017-10-11 08:43:51,918034397164695552,2017-10-11 08:43:51,Christian_anv,,52,RT @charlieafnord: Förutom det orimliga i att man kan överklaga utvisningsbeslut in i det evinnerliga - vad kostar inte detta spektakel oss…,
2017-10-11 08:40:43,918033611231817728,2017-10-11 08:40:43,KristinaZanotti,,6,RT @KristinaEriks10: @Ygeman Börja med att läsa den här rapporten. Sedan kan vi diskutera. https://t.co/AbTQDde9u5,
