created_at,id,created_at,author,location,retweet_count,tweet,in_reply
2017-10-18 19:01:45,920726614136250368,2017-10-18 19:01:45,VictorHarju,Järfälla,52,"RT @Anna_Ekstrom: Gå med &amp; engagera er i facket! Se till att facket driver fall, skriver bra avtal &amp; bidrar till ett arbetsliv fritt från k…",
2017-10-18 19:01:40,920726594209107968,2017-10-18 19:01:40,MiaLiljeberg,"Stockholm, Sverige",24,"RT @konstantarg: #metoo Kvinnor (och andra) behöver inte kurser i självförsvar.

Män behöver kurser i självdisciplin.",
2017-10-18 19:01:24,920726523765805056,2017-10-18 19:01:24,sofierikson,Sweden,0,Ni kommer väl? 💪🏼 #sergelstorg #metoo https://t.co/IoD7yAJsAr,
2017-10-18 19:01:14,920726484674842625,2017-10-18 19:01:14,ekaker2,"Växjö, Sverige",2,"RT @niklassvensson: LIVE-TV: Stefan Löfven i #BaraPolitik – om #metoo-kampanjen. 
https://t.co/mZx8eO8Rez",
2017-10-18 19:01:08,920726458947067907,2017-10-18 19:01:08,formatet,Göteborg,24,RT @philipbotstrom: Skriver om det viktiga initiativet #MeToo. Vi alla män har ett ansvar att agera. https://t.co/GDMtMPXmfZ https://t.co/T…,
2017-10-18 19:01:07,920726455155396608,2017-10-18 19:01:07,vxonewsse,Växjö,0,Sexuella ofredanden i Växjö anmäls inte #Metoo https://t.co/Sh3bNDfOTd,
2017-10-18 19:01:06,920726448796766208,2017-10-18 19:01:06,matsmortzell,Boden,1741,"RT @SilvanaImam: ”Inte alla män” men nästan alla kvinnor. 

Följ #MeToo",
2017-10-18 19:01:00,920726425254137857,2017-10-18 19:01:00,magdalundh,,1327,RT @hagnestahill_: Att Anna Book nu stöttar #metoo när hon nyligen körde på offentlig skuldbeläggning och victimblaming av tjejen hennes so…,
2017-10-18 19:00:54,920726398700019712,2017-10-18 19:00:54,jarlemark,"Karlskoga, Sverige",163,"RT @johannathydell: På riktigt.
VARFÖR publicerade @Expressen Elisabeth Höglunds imbecilla krönika om att (stundtals NAMNGIVNA) kvinnor får…",
2017-10-18 19:00:53,920726396409958402,2017-10-18 19:00:53,SBGcentern,"Sundbyberg, Sverige",11,"RT @dagensnyheter: Riksdagspartiernas ledare hyllar nätkampanjen #metoo – öppnar för skärpning i lagen.
https://t.co/5oDiOeYVGS https://t.c…",
2017-10-18 19:00:48,920726373890772993,2017-10-18 19:00:48,EbbaParmo,,1410,RT @glasklart: Nu är det ett dygn sedan @cissiwallin outade Virtanen och 4 dagar sedan Lulu Carter skrev om Timell. All media är... tyst. V…,
2017-10-18 19:00:30,920726299584409602,2017-10-18 19:00:30,soloigamlanikes,"Gotland, Sweden",24,"RT @konstantarg: #metoo Kvinnor (och andra) behöver inte kurser i självförsvar.

Män behöver kurser i självdisciplin.",
2017-10-18 19:00:26,920726281439850498,2017-10-18 19:00:26,hotwiredsweden,Sweden,11,"RT @ECPATSverige: Vi säger som @Novahuset till alla som berättar om #övergrepp: vi ser er, vi tror på er &amp; vi slutar aldrig kämpa för er. #…",
2017-10-18 19:00:25,920726277568548864,2017-10-18 19:00:25,urdsbrunn,,0,#metoo vet inte hur många blottare jag stött på och hur många tafsare och hur många sexistiska skämt,
